analysis,sample,outcome,treatment,treatment_controls,method,coef,se,ci_lower,ci_upper,pvalue,n,treated,control,schools
math_tutoring_to_math_score,baseline_no_core,delta_math,new_math,new_chinese;new_english,DID,0.10118171701267717,0.03451015846701961,0.03354304931654874,0.16882038470880562,0.0033685172507679335,3073,481,2592,68
math_tutoring_to_math_score,baseline_no_core,delta_math,new_math,new_chinese;new_english,IPW-DID,0.10109901565650856,0.03594478371092563,0.03064853415101232,0.1715494971620048,0.004913969244097504,3073,481,2592,68
math_tutoring_to_math_score,baseline_no_core,delta_math,new_math,new_chinese;new_english,DR-DID,0.101390537778804,0.0407126419353717,0.021595225870000387,0.1811858496876076,0.012760138835934187,3073,481,2592,68
english_tutoring_to_english_score,baseline_no_core,delta_english,new_english,new_math;new_chinese,DID,0.1109492031338558,0.0520426411985007,0.00894750072445398,0.21295090554325763,0.03301586396524388,3073,387,2686,68
english_tutoring_to_english_score,baseline_no_core,delta_english,new_english,new_math;new_chinese,IPW-DID,0.07381405336652139,0.04314993349027243,-0.01075826220971128,0.15838636894275404,0.0871473711789676,3073,387,2686,68
english_tutoring_to_english_score,baseline_no_core,delta_english,new_english,new_math;new_chinese,DR-DID,0.09939181533716177,0.06208588630009711,-0.02229428575927732,0.22107791643360086,0.10940435049187602,3073,387,2686,68
chinese_tutoring_to_chinese_score,baseline_no_core,delta_chinese,new_chinese,new_math;new_english,DID,-0.010597622444137013,0.05778915900931244,-0.12386229279924779,0.10266704791097375,0.8544965212988552,3077,201,2876,68
chinese_tutoring_to_chinese_score,baseline_no_core,delta_chinese,new_chinese,new_math;new_english,IPW-DID,-0.009358156551575837,0.06189559247455446,-0.130671288603471,0.11195497550031931,0.8798237748336807,3077,201,2876,68
chinese_tutoring_to_chinese_score,baseline_no_core,delta_chinese,new_chinese,new_math;new_english,DR-DID,-0.0028802650542647888,0.056297886420839154,-0.1132220948448361,0.10746156473630651,0.959197102827626,3077,201,2876,68
any_extracurricular_to_total_score,primary,delta_total,new_any,,DID,0.030805098837523026,0.01983745573879352,-0.008075599955419684,0.06968579763046573,0.12045288290928001,2336,729,1607,68
any_extracurricular_to_total_score,primary,delta_total,new_any,,IPW-DID,0.026793291216077736,0.0201550929228341,-0.012709965017735234,0.0662965474498907,0.1837305876986045,2336,729,1607,68
any_extracurricular_to_total_score,primary,delta_total,new_any,,DR-DID,0.03705682195711448,0.020070286235943473,-0.0022802162247446897,0.07639386013897365,0.06484104814844294,2336,729,1607,68
core_tutoring_to_total_score,primary,delta_total,new_core,,DID,0.07380456432100874,0.023428183043972463,0.027886169331610734,0.11972295931040675,0.001631324567362893,3079,686,2393,68
core_tutoring_to_total_score,primary,delta_total,new_core,,IPW-DID,0.0702130916422232,0.021126242628200537,0.028806416962295328,0.11161976632215106,0.0008889505667138444,3079,686,2393,68
core_tutoring_to_total_score,primary,delta_total,new_core,,DR-DID,0.071921650989971,0.024403904463223994,0.02409087715989569,0.1197524248200463,0.0032073102075995674,3079,686,2393,68
core_tutoring_to_cognition,primary,delta_cog,new_core,,DID,-0.013739803837621726,0.023251194981382575,-0.059311308598650025,0.03183170092340658,0.5545680391298771,3087,684,2403,68
core_tutoring_to_cognition,primary,delta_cog,new_core,,IPW-DID,-0.02422089552698735,0.02258599260108636,-0.06848862758020474,0.02004683652623005,0.28354682737649917,3087,684,2403,68
core_tutoring_to_cognition,primary,delta_cog,new_core,,DR-DID,-0.006825984849506711,0.020719401188002695,-0.0474352649592284,0.033783295260214986,0.7418163783332825,3087,684,2403,68
core_tutoring_to_negative_emotion,primary,delta_neg_emo,new_core,,DID,0.04787685848522674,0.03567362861997319,-0.022042168807778026,0.11779588577823151,0.17957010346271396,3033,679,2354,68
core_tutoring_to_negative_emotion,primary,delta_neg_emo,new_core,,IPW-DID,0.05674355059413314,0.03941502048621287,-0.020508470008752493,0.13399557119701877,0.14996848306043858,3033,679,2354,68
core_tutoring_to_negative_emotion,primary,delta_neg_emo,new_core,,DR-DID,0.04180412413896083,0.03680199931798113,-0.030326469083349822,0.11393471736127148,0.2559900804126547,3033,679,2354,68
core_tutoring_to_high_negative_emotion,primary,high_neg_emo_fu_25,new_core,,DID,0.004887614606573394,0.02032296977128491,-0.03494467420404125,0.04471990341718804,0.8099449373642363,3033,679,2354,68
core_tutoring_to_high_negative_emotion,primary,high_neg_emo_fu_25,new_core,,IPW-DID,0.0022655181673602275,0.022068869225890037,-0.040988670694908594,0.04551970702962904,0.9182354087623185,3033,679,2354,68
core_tutoring_to_high_negative_emotion,primary,high_neg_emo_fu_25,new_core,,DR-DID,-0.001424574781609071,0.021509385383233368,-0.04358219546233874,0.04073304589912059,0.9471944096017706,3033,679,2354,68
