check,analysis,sample,outcome,treatment,treatment_controls,method,coef,se,ci_lower,ci_upper,pvalue,n,treated,control,schools
sample_restriction,math_tutoring_to_math_score,fall2013,delta_math,new_math,new_chinese;new_english,DID,0.10118171701267717,0.03451015846701961,0.03354304931654874,0.16882038470880562,0.0033685172507679335,3073,481,2592,68
sample_restriction,math_tutoring_to_math_score,all_matched,delta_math,new_math,new_chinese;new_english,DID,0.08836600981239445,0.0293156461771176,0.03090839912172464,0.14582362050306427,0.0025757709827689003,4738,699,4039,112
sample_restriction,core_tutoring_to_total_score,fall2013,delta_total,new_core,,DID,0.07380456432100874,0.023428183043972463,0.027886169331610734,0.11972295931040675,0.001631324567362893,3079,686,2393,68
sample_restriction,core_tutoring_to_total_score,all_matched,delta_total,new_core,,DID,0.05518570148580759,0.017748633096222374,0.020399019842396116,0.08997238312921907,0.0018753561221877644,4744,1005,3739,112
sample_restriction,core_tutoring_to_cognition,fall2013,delta_cog,new_core,,DID,-0.013739803837621726,0.023251194981382575,-0.059311308598650025,0.03183170092340658,0.5545680391298771,3087,684,2403,68
sample_restriction,core_tutoring_to_cognition,all_matched,delta_cog,new_core,,DID,0.00804870132697454,0.01960594036148231,-0.030378235664571002,0.046475638318520085,0.6814218909754824,4749,1007,3742,112
sample_restriction,core_tutoring_to_negative_emotion,fall2013,delta_neg_emo,new_core,,DID,0.04787685848522674,0.03567362861997319,-0.022042168807778026,0.11779588577823151,0.17957010346271396,3033,679,2354,68
sample_restriction,core_tutoring_to_negative_emotion,all_matched,delta_neg_emo,new_core,,DID,0.03940240093562996,0.030605569190040437,-0.020583412403198012,0.09938821427445793,0.1979458990570001,4676,998,3678,112
value_added,math_tutoring_to_math_score,fall2013,z_math_fu,new_math,new_chinese;new_english,DID,0.1011817170126771,0.0345101584670196,0.03354304931654868,0.1688203847088055,0.0033685172507679478,3073,481,2592,68
value_added,core_tutoring_to_total_score,fall2013,z_total_fu,new_core,,DID,0.07380456432100828,0.023428183043972494,0.027886169331610214,0.11972295931040634,0.0016313245673630248,3079,686,2393,68
value_added,core_tutoring_to_cognition,fall2013,z_cog_fu,new_core,,DID,-0.013739803837620386,0.023251194981382547,-0.05931130859864863,0.03183170092340786,0.5545680391299153,3087,684,2403,68
value_added,core_tutoring_to_negative_emotion,fall2013,neg_emo_fu,new_core,,DID,0.047876858485225215,0.03567362861997321,-0.022042168807779594,0.11779588577823003,0.17957010346272828,3033,679,2354,68
cross_subject_placebo,math_tutoring_to_chinese_score,fall2013,delta_chinese,new_math,new_chinese;new_english,DID,0.027278519437620573,0.029357503104704728,-0.030261129323623515,0.08481816819886466,0.3527937859820991,3077,482,2595,68
cross_subject_placebo,math_tutoring_to_english_score,fall2013,delta_english,new_math,new_chinese;new_english,DID,0.012612561030791676,0.03539023409341467,-0.05675102319674261,0.08197614525832597,0.7215519977051701,3073,481,2592,68
