check,analysis,sample,outcome,treatment,treatment_controls,method,coef,se,ci_lower,ci_upper,pvalue,n,treated,control,schools
math_only_specificity,math_only_to_delta_math,fall2013,delta_math,new_math_only,,DID,0.0902614267291319,0.033427618702254074,0.02474449798377637,0.15577835547448743,0.006929673979665217,2771,383,2388,68
math_only_specificity,math_only_to_delta_chinese,fall2013,delta_chinese,new_math_only,,DID,0.006320438368030097,0.03397849517889571,-0.06027618843147336,0.07291706516753355,0.8524346464768328,2774,383,2391,68
math_only_specificity,math_only_to_delta_english,fall2013,delta_english,new_math_only,,DID,0.00543594194020235,0.03245236828370517,-0.05816953110888971,0.0690414149892944,0.8669725199526125,2771,383,2388,68
single_vs_multi_subject,new_single_subject_to_delta_total,fall2013,delta_total,new_single_subject,,DID,0.04717318092629332,0.0220651205745858,0.003926339285571408,0.09042002256701523,0.03252427290262995,2796,403,2393,68
single_vs_multi_subject,new_multi_subject_to_delta_total,fall2013,delta_total,new_multi_subject,,DID,0.10254907572920827,0.04057548437747437,0.02302258769409088,0.18207556376432565,0.01149218625373875,2676,283,2393,68
single_vs_multi_subject,new_single_subject_to_delta_math,fall2013,delta_math,new_single_subject,,DID,0.10267187720738291,0.026199569969538646,0.05132166365665,0.15402209075811582,8.89767940526702e-05,2791,403,2388,68
single_vs_multi_subject,new_multi_subject_to_delta_math,fall2013,delta_math,new_multi_subject,,DID,0.12161715404710458,0.04593150904128963,0.031593050570601036,0.21164125752360813,0.008101898218720118,2670,282,2388,68
single_vs_multi_subject,new_single_subject_to_delta_chinese,fall2013,delta_chinese,new_single_subject,,DID,0.022614977438682904,0.03510554865147559,-0.04619063357572792,0.09142058845309373,0.5194460649414527,2794,403,2391,68
single_vs_multi_subject,new_multi_subject_to_delta_chinese,fall2013,delta_chinese,new_multi_subject,,DID,0.11394646395933582,0.043646447397749706,0.028400999006624433,0.1994919289120472,0.009036508760584925,2674,283,2391,68
single_vs_multi_subject,new_single_subject_to_delta_english,fall2013,delta_english,new_single_subject,,DID,0.04137799928175909,0.02941909513561614,-0.016282367641806045,0.09903836620532422,0.15957528123769815,2791,403,2388,68
single_vs_multi_subject,new_multi_subject_to_delta_english,fall2013,delta_english,new_multi_subject,,DID,0.09489511228484933,0.05656240662387735,-0.015965167576860062,0.20575539214655872,0.09340442703695667,2670,282,2388,68
